epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,14153.5,0.24264,0.03142,0.01708,0.15817,0.80443,0.99788,0.99807,0.99497,0.99189,0.99788,0.99807,0.99497,0.99465,0.15984,0.01399,0.00017,0.10334,0.76568,0.00248577,0.00248577,0.00248577
103,14292.3,0.23554,0.03124,0.01622,0.15642,0.80411,0.99796,0.99804,0.99497,0.99202,0.99796,0.99804,0.99497,0.99465,0.15906,0.01388,0.00016,0.10194,0.76565,0.00239766,0.00239766,0.00239766
104,14429.9,0.24081,0.0338,0.01674,0.15801,0.80777,0.99796,0.99804,0.99497,0.99197,0.99796,0.99804,0.99497,0.9947,0.15854,0.01378,0.00016,0.10174,0.76556,0.00231071,0.00231071,0.00231071
105,14568.5,0.23343,0.02922,0.0158,0.15444,0.80267,0.99796,0.99806,0.99497,0.99212,0.99796,0.99806,0.99497,0.9947,0.1582,0.01385,0.00015,0.10126,0.76557,0.00222497,0.00222497,0.00222497
106,14708,0.23458,0.03032,0.01659,0.15525,0.80302,0.99795,0.99805,0.99497,0.99229,0.99795,0.99805,0.99497,0.9947,0.15773,0.01378,0.00015,0.10018,0.76568,0.00214046,0.00214046,0.00214046
107,14846.8,0.23023,0.03254,0.01698,0.15206,0.8036,0.99796,0.99792,0.99497,0.99227,0.99796,0.99792,0.99497,0.99466,0.15715,0.01377,0.00015,0.09987,0.76555,0.00205723,0.00205723,0.00205723
108,14985.4,0.23079,0.03108,0.01629,0.15278,0.8009,0.99794,0.99803,0.99498,0.99232,0.99794,0.99803,0.99498,0.99467,0.1566,0.01375,0.00015,0.09932,0.76552,0.00197532,0.00197532,0.00197532
109,15124,0.22779,0.02991,0.01569,0.14972,0.80199,0.99814,0.99814,0.99497,0.99226,0.99814,0.99814,0.99497,0.99467,0.15616,0.01371,0.00015,0.09895,0.76546,0.00189475,0.00189475,0.00189475
110,15263.3,0.22785,0.03078,0.01618,0.15005,0.80215,0.99817,0.99814,0.99497,0.99234,0.99817,0.99814,0.99497,0.99467,0.15579,0.01367,0.00014,0.09913,0.76533,0.00181557,0.00181557,0.00181557
111,15402,0.22933,0.02832,0.01469,0.15101,0.80308,0.9981,0.99813,0.99497,0.9925,0.9981,0.99813,0.99497,0.9947,0.15526,0.01359,0.00014,0.09897,0.76517,0.0017378,0.0017378,0.0017378
